 "n" , "FFVenuesPerPerson" , "sR" , "cdAverage" ,
 "Iceland" , "68.020347522139158565500000" , "15.06979" , "5.5e0" ,
 "France" , "12.226189035459276291900000" , "15.78652" , "6.7e0" ,
 "Finland" , "27.416187222699517230800000" , "16.68945" , "7.2e0" ,
 "Greece" , "11.264912073450463245900000" , "4.92309" , "2.7e0" ,
 "Norway" , "12.771885751995084119100000" , "10.21201" , "6.3500000000000005e0" ,
 "Hungary" , "16.853541139414517112200000" , "25.37065" , "8.9e0" ,
 "Belgium" , "17.470700463341509948200000" , "17.7747" , "4.5e0" ,
 "Croatia" , "12.326871678843302249400000" , "16.48266" , "6.5e0" ,
 "Italy" , "6.718273558998740822400000" , "6.41925" , "3.1500000000000012e0" ,
 "Estonia" , "10.073168511424465413200000" , "18.71299" , "1.4e0" ,
 "Spain" , "5.635415039074017160300000" , "7.0247" , "7.3e0" ,
 "Denmark" , "89.105047806349821960600000" , "11.17013" , "8.6e0" ,
 "Netherlands" , "21.594945907027072311600000" , "10.03449" , "6.2e0" ,
 "Romania" , "3.175381383351904014400000" , "12.78488" , "0.5e0" ,
 "Ireland" , "33.341794718914738749800000" , "11.53397" , "5.9e0" ,
 "Portugal" , "4.591740918223303661500000" , "12.48891" , "3.0e0" ,
 "Sweden" , "30.05463188411409187100000" , "13.19343" , "8.3e0" ,
 "Germany" , "29.152832152237474602300000" , "12.97631" , "6.6e0" ,
 "United Kingdom" , "20.742320170386218975300000" , "6.9782" , "6.6e0" ,
